word,count
lightning,43
east,43
entered,43
jason,43
verses,43
worry,43
blake,43
build,43
ship,43
according,43
term,43
train,43
lucky,43
palace,43
idea,43
hall,43
months,43
rolling,43
works,43
happened,43
streets,43
spend,43
monk,43
kept,43
jackson,43
turns,43
several,42
treat,42
article,42
cover,42
combs,42
mistake,42
flow,42
account,42
roof,42
scared,42
deal,42
stick,42
losing,42
veins,42
heat,42
played,42
watching,42
soundtrack,42
moreover,41
weeping,41
clean,41
possible,41
empty,41
priest,41
major,41
version,41
strange,41
hello,41
eunuch,41
modern,41
calls,41
fourth,41
condition,41
younger,41
troops,41
ends,41
fade,41
takin,41
october,41
early,41
seat,41
york,41
asking,41
problems,40
spent,40
leaves,40
blessed,40
crying,40
fifth,40
prove,40
explain,40
bound,40
became,40
rum,40
flag,40
buddy,40
saturday,40
saved,40
knight,40
knowing,40
woke,40
figure,40
garden,40
thank,40
spell,39
concerning,39
false,39
walker,39
continued,39
jewels,39
kansas,39
chest,39
silence,39
flame,39
saint,39
ray,39
clouds,39
favorite,39
goddamn,39
interlude,39
voices,39
sell,39
prayer,39
tennessee,39
tall,39
everywhere,39
followed,39
bigger,39
pink,39
girlfriend,39
roses,39
cinema,38
track,38
sort,38
feelings,38
rejoiced,38
damsel,38
keys,38
mentioned,38
justice,38
tight,38
dogs,38
hank,38
slain,38
smash,38
wherever,38
greatest,38
killed,38
michael,38
scream,38
lit,38
object,38
pieces,38
names,38
mix,38
nasty,38
rapper,37
vision,37
distance,37
married,37
enemy,37
twice,37
note,37
position,37
private,37
threw,37
guys,37
bullet,37
instead,37
breathe,37
neon,37
faithful,37
anymore,37
needed,37
drown,37
shoulder,37
mounted,37
cheeks,37
edition,37
aught,37
moves,37
shadow,37
sins,37
smooth,37
jordan,36
movement,36
prayers,36
plain,36
park,36
monster,36
misery,36
arose,36
animals,36
lily,36
states,36
hawk,36
especially,36
month,36
disorder,36
purpose,36
chain,36
wise,36
driving,36
t-shirt,36
sore,36
sink,36
fish,36
games,36
flying,36
sweat,36
shawn,36
raise,36
andrew,36
fighting,36
share,36
english,35
draw,35
nick,35
diamond,35
mars,35
sold,35
insane,35
blues,35
dangerous,35
van,35
beyond,35
somehow,35
trap,35
teeth,35
able,35
reach,35
foot,35
passage,35
kitchen,35
pussy,35
edge,35
waves,35
miller,35
creator,35
reasons,35
zone,35
sin,35
3rd,35
caused,35
wiz,35
service,34
drove,34
station,34
strip,34
moses,34
paris,34
hat,34
parts,34
meaning,34
join,34
conversation,34
spirit,34
animal,34
2nd,34
fit,34
castle,34
wet,34
bank,34
fingers,34
main,34
highway,34
arabs,34
guest,34
bow,34
kindness,34
coke,34
speaking,34
haggard,34
died,34
ink,34
except,34
deeper,34
reckless,34
clock,34
liked,34
manner,34
lieutenant,34
flesh,34
remained,33
cave,33
hero,33
sail,33
mendes,33
stress,33
spin,33
gas,33
crown,33
happiness,33
greeks,33
stones,33
dublin,33
delight,33
journey,33
duchess,33
husband,33
seek,33
awake,33
dare,33
kicks,33
period,33
shots,33
1st,33
wood,33
fallen,33
repeated,33
speech,33
stuff,33
cure,33
sickness,33
mcgraw,33
electric,33
drank,33
giving,33
faces,33
tale,33
killing,33
legend,33
weed,33
chains,32
coast,32
