Song,Artist,sentiment_category
Freaks - Radio Edit,Timmy Trumpet,positive
Fresh Eyes,Andy Grammer,positive
Frick Park Market,Mac Miller,positive
FRIENDS,Marshmello,negative
Friends in Low Places,Brooks Jefferson,positive
The Funeral,Band of Horses,negative
Galway Girl,Ed Sheeran,positive
Galway Girl,Ed Sheeran,positive
Gasoline,Halsey,positive
Get Along,Kenny Chesney,positive
GET UP,Shinedown,positive
Get Up (Rattle),Bingo Players,negative
Get You Good,Roy Woods,negative
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,positive
Gimme Love,Joji,positive
Girls Like You,Maroon 5,negative
Give and Take,Poor Man's Poison,positive
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,positive
Gives You Hell,The All-American Rejects,positive
Glory Days,The Federal Empire,positive
God Gave Me You,Blake Shelton,positive
God's Country,Blake Shelton,positive
God's Plan,Drake,positive
Godzilla (feat. Juice WRLD),Eminem,negative
Go Flex,Post Malone,negative
Go Fuck Yourself,Two Feet,positive
Gold,Imagine Dragons,positive
Gold Digger,Kanye West,negative
Golddust,DJ Fresh,positive
Gone Away,Five Finger Death Punch,positive
"Gone, Gone, Gone",Phillip Phillips,positive
good 4 u,Olivia Rodrigo,positive
Good as Hell,Lizzo,positive
Good Day,Nappy Roots,positive
Good Directions,Billy Currington,positive
Good For You,Selena Gomez,negative
Good Old Days (feat. Kesha),Macklemore,positive
Good Time,Alan Jackson,negative
GOOD TIME,Niko Moon,positive
The Greatest (feat. Kendrick Lamar),Sia,positive
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,positive
Growin' Up and Gettin' Old,Luke Combs,positive
Guilty Pleasure,Bryce Vine,positive
Hail to the King,Avenged Sevenfold,positive
Hands To Myself,Selena Gomez,negative
The Hanging Tree,James Newton Howard,negative
Happier Than Ever,Billie Eilish,negative
HAPPINESS,NEEDTOBREATHE,positive
Happy Hour,Morgan Wallen,positive
Hard Times,Paramore,negative
Hate My Life,Theory of a Deadman,negative
Havana (feat. Young Thug),Camila Cabello,positive
Have You Ever Seen The Rain,Creedence Clearwater Revival,positive
HeadBand (feat. 2 Chainz),B.o.B,positive
Heading South,Zach Bryan,negative
Head Over Boots,Jon Pardi,positive
Headstrong,Trapt,positive
Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,positive
Heartache On The Dance Floor,Jon Pardi,positive
Heart Attack,Demi Lovato,negative
Heartless,The Weeknd,negative
Heartless (feat. Morgan Wallen),Diplo,positive
Heat Waves (with iann dior),Glass Animals,positive
Heaven,Kane Brown,positive
Heavy (feat. Kiiara),Linkin Park,negative
Hell's Comin' with Me,Poor Man's Poison,negative
Hell Yeah,Rev Theory,positive
"Hey Look Ma, I Made It",Panic! At The Disco,positive
Hey Tonight,Creedence Clearwater Revival,positive
Hey Ya!,Outkast,negative
High Hopes,Panic! At The Disco,positive
The Hills,The Weeknd,positive
Hippies and Cowboys,Cody Jinks,positive
Hold Me Down,Halsey,negative
hole in the bottle (with Shania Twain),Kelsea Ballerini,positive
Honest,Kyndal Inskeep,positive
"Honey, I'm Good.",Andy Grammer,positive
Honky Tonk Badonkadonk,Trace Adkins,positive
Hotel Room Service,Pitbull,positive
hot girl bummer,blackbear,positive
How Did You Love,Shinedown,positive
Howlin' for You,The Black Keys,negative
Human,Rag'n'Bone Man,positive
Hungry Like the Wolf - 2009 Remaster,Duran Duran,positive
Hymn for the Weekend - Seeb Remix,Coldplay,positive
I Bet My Life,Imagine Dragons,positive
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,negative
I Cant Stop,Flux Pavilion,positive
I Could Use a Love Song,Maren Morris,positive
I Don't Care,Fall Out Boy,positive
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,positive
